Employee Number,Title,First Forname,Surname,Starting Original Date,Emp End Date,SSP Payment,SSP Contra Payment,SMP Payment,OMP Payment,SMP Recovery,CHILDCARE-NEW,BASIC PAY,Qty1,Net1,Tax1,Qty2,Net2,Tax2,Divisor,Pensionable Pay Offset,BASIC ARREARS,BASIC ARR - NP,PDI,CSP-BASIC ADJ,HOLIDAY PAY,O/T @ 1,O/T @ 1.5,OVERTIME CASH,SHIFT ALLW,ACTING ALLW,WEIGHTING,SUPPLEMENT,BONUS,U/P LEAVE,PENSION REFUND,REFER A FRIEND,INCENTIVE,COMMISSION,PILON-T,EX-GRATIA-N,EX-GRATIA-T,SIGNING FEE,TOP UP - OTHER,TOP UP - HOLIDAY,TOP UP - BANK HOLIDAY,Den 1 - EE,Den 1 - PAR,Den 1 - SP,Den 1 - FAM,Den 3 - EE,Den 3 - PAR,Den 3 - FAM,Den 6 - EE,Den 6 - PAR,,Choose IPad,Choose TV,Choose Mobiles - TopUp,Gym Flex,CHOOSECHILDCARE,CHOOSEBIKES,CHOOSEHEALTH,Smart Pension,SMART AVC %,SMART AVC £,WPR Sal Sac,Sal Sac,,Tax Paid,NI Contracted In,NI Pensioner Contracted In,Student Loan,Pension 1,VC %,VC Cash,WPR Non Sal Sacrifice,Entitled Workers Sal Sac,Entitled Workers Non Sal Sac,PRIORITY1,CSA1-PRE 04/03,CSA-POST 04/03,CSA-POST 04/03,CSA-POST 04/03,COUNCIL TAX > 07,COUNC TAX2 >07,NON PRIORITY1,A E O FINES,EAS 3 - POST 04/10,GAYE,CHOOSECHILDCARE,CHOOSEVOUCHERS,CHOOSETRAVEL,ADVANCE,LOAN,OVERPAYMENTS,SAYE 2009,SAYE 2010,SAYE 2011,SAYE 2012 3 Yr,SAYE 2012 5Yr,SAYE 2013 3 Yr,SAYE 2013 5Yr,GYM SUBS,MONIES REC,CAR FINES,Healthcare Gold - Single,Healthcare Gold - SPF,Healthcare Gold - Partner,Healthcare Gold - Family,,Net Pay (Total)
11106,MR,First Name 11106,Last Name 11106,01/05/1999,02/10/2014,367.71,-367.71,0,0,0,0,0,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,64.91,0,0,0,0,0,0,0,0,0,0,0,332,0,3750,-3750,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.19,0,0,0,0,0,0,0,0,0,0,0,0,0,-1337.31,29.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1308.04,1704.95
12827,MR,First Name 12827,Last Name 12827,18/04/2005,,0,0,0,0,0,0,0,3,90,10,2,90,10,2,-490.1,0,0,293.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-196.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,250,43.19
121027,MR,First Name 121027,Last Name 121027,11/07/2005,,0,0,0,0,0,0,1268.5,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.52,0,0,0,0,0,903.73,68.25,0,0,0,0,0,0,0,0,0,3441.9,0,0,0,0,0,0,0,-31.14,0,0,0,0,-31.14,632,347.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1039.36,2861.5
121143,MR,First Name 121143,Last Name 121143,25/07/2005,,0,0,0,0,0,0,1225.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.41,0,0,0,0,0,166.76,0,0,0,0,0,0,0,0,0,0,2266.65,0,0,0,0,0,0,0,-29.42,-7.35,0,0,0,-36.77,376,246.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,872.84,1847.14
121579,MR,First Name 121579,Last Name 121579,08/08/2005,28/03/2014,0,0,0,0,0,0,0,3,90,10,2,90,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,112.13
125172,MR,First Name 125172,Last Name 125172,16/04/2012,,0,0,0,0,0,0,1983.75,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,497.88,0,0,0,0,86.67,0,193.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271.54,0,0,0,0,0,0,0,0,0,0,-29.87,0,-29.87,394.4,248.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.65,2089.12
125635,MRS,First Name 125635,Last Name 125635,12/06/2006,,175.1,0,0,0,0,0,761.08,3,90,10,2,90,10,2,-490.1,0,0,0,-351.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0,0,0,0,0,0,0,0,115.73,0,0,0,0,-243,0,0,0,0,0,0,0,-243,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,0,153.79,209.04
125813,MR,First Name 125813,Last Name 125813,10/09/2007,,0,0,0,0,0,0,1311.58,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,113.52,0,0,0,0,0,238.34,0,0,0,0,0,1158.3,0,0,0,0,56.99,910.24,0,0,0,0,0,0,0,0,0,0,3298.87,0,0,0,0,0,0,0,0,0,0,-16.43,0,-16.43,487.6,344.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,982.39,2790.15
127684,MR,First Name 127684,Last Name 127684,25/09/2006,,0,0,0,0,0,0,1184.17,3,90,10,2,90,10,2,-490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.1,0,0,0,0,4.27,60.32,12.25,0,0,0,0,0,0,0,0,0,1340.01,0,0,0,0,0,0,0,0,0,0,-13.88,0,-13.88,207.6,138.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.99,1470.24
127984,MR,First Name 127984,Last Name 127984,01/10/2006,12/09/2014,0,0,0,0,0,0,0,3,90,10,2,90,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,19.27,0,16.67,0,0,0,0,0,0,0,0,0,410.94,0,0,0,0,0,0,0,0,0,0,0,0,0,82,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.95,297.99
